shortcode;id;text;created_at
CQoSzVNraaH;17911329145791298;@triciatcas People will always eat meat, so I see no problem with using the furs and skin from animals harvested for meat. It's better to use all of it than let it go to waste. But honestly I don't wear furs or leather, it makes me sad.;1624898255
CQoSzVNraaH;17882589734291324;So now all materials in Canada Goose coats will be sourced from the petrochemical industry. Great win for environmentalists. Also, the thousands of fur trappers  across northern Canada (who were making a living wage supplying pelts and down that actually had demand) will now only be hunting to incinerate these animals in order to maintain population control mandates.;1624898866
CQoSzVNraaH;17911238575888806;@hardbopp I’ll note that the majority of trappers in northern Canada are from our indigenous communities. They have now lost a source of economic growth for their communities because people in the city know what’s best for the world.;1624899166
CQoSzVNraaH;17880685850381657;What about the feathers?;1624906959
CQoSzVNraaH;17879595944461173;Why not just harvest fur sustainably. There are ways to do it. This is totaling green washing!!!!;1624912726
CQoSzVNraaH;17902360283053834;@lorraineya;1624913080
CQoSzVNraaH;17890436045315700;Incredible news!;1624913839
CQoSzVNraaH;17890989017218427;Next step ditch the down !!!!!!!! They are not fully cruelty free ! Animals are still dying and in pain !;1624917777
CQoSzVNraaH;17970314581387227;@xxtoxicbeansxx i guess people will but even that (eating meat) is not sustainable, especially to meet the demands of billions of people. Perhaps if people were like tribes who live within their means, lower population, hunted and gathered their own food, etc. But its definitely different from our modern world. Leather production is also not as environmentally friendly as most think. Apart from all the methane the cows release, water usage + the deforestation to make way for cattles, they go through so much chemical processing/tanning to make them wearable. There are leathers now being made from plants, although still not completely without PU, its a step in the right direction (ethically and possibly from a sustainable standpoint). But i guess truly the best way is buying second hand and reusing existing fur or leather! And I agree, real fur and leather makes me sad 😞.;1624917806
CQoSzVNraaH;18083621191277961;FINALLY 👏👏👏;1624927894
CQoSzVNraaH;17904884737989330;😂😂😂😂😂;1624930605
CQoSzVNraaH;17879440421400726;@ok_bojangels i stay very warm in my cruelty free coat 😘;1624987648
CQoSzVNraaH;17908290820857741;@ok_bojangels i hope you find happiness ❤️;1624990202
CQoSzVNraaH;17910590443815984;Then, will it be called Canada No Goose?;1625057380
CQoSzVNraaH;18096843112300890;Now do ethical down;1625060016
CQoSzVNraaH;17917715503779102;Where is the black woman?;1625155576
CQoSzVNraaH;17925506584635700;Where is the black woman?;1625155933
CQoSzVNraaH;17925327013641417;@romeo_thefrenchbulldog finally!!! Now I can buy their jackets!;1625239431
CQoSzVNraaH;17904056809923849;@romeo_thefrenchbulldog finally!!! Now I can buy their jackets!;1625239462
CQoSzVNraaH;17876937476358565;This needs to stop, this is ridiculous. Animals are for our use. Fish are food, not friends;1625272948
CQoSzVNraaH;17921765392708141;Good them they can knock 30% off their price otherwise its just a cheap shitty coat.;1625293455
CQoSzVNraaH;18051124324288741;I got fur everything;1625293494
CQoSzVNraaH;17898213047033773;I love hunting and eating animals;1625293519
CQoSzVNraaH;17891272475252132;@highland01 Because ... ain’t nobody making anything that will keep you alive in extreme temps. Before you judge me, I live in Northern Alberta where polyester shatters in Winter.;1626315632
CQoSzVNraaH;17916028981834351;Is everyone on here vegan? No leather jackets, belts, purses, etc.? I love animals and detest the slaughter of them especially for pointless reasons. I can’t stand the slaughter of animals for fashion reasons, but coyote fur has a reason: it’s the warmest fur available. Judge me all you want from your tropical zones (I live in Northern Canada) while the mining of the raw materials for your iPhones are destroying our planet.;1626316114
CQoSzVNraaH;17897417552154342;@pappa2l how about this.  I didn't Judge you! I care more about animals than people;1626346838
CQoSzVNraaH;17910209506928580;@pappa2l Not to mention rich people wear these dead animal jackets in areas where it in Not extreme low Temps.;1626346954
CQoSzVNraaH;17885609414340615;@pappa2l how about this.  I didn't Judge you! I care more about animals than people;1626347030
CQoSzVNraaH;17924692993671456;@pappa2l Not to mention rich people wear these dead animal jackets in areas where it in Not extreme low Temps.;1626347045
CQoSzVNraaH;17963829391439907;The whole point of Canada goose is to have goose feathers in it from canada . Smh;1626453763
CQoSzVNraaH;17905791794101904;@muzicmiztress calm down feminazi no one was sexist and it’s totally fine to point out they still use hella down;1629445524
CQoSzVNraaH;17927879723169258;Dumb vegans;1647715721
CQoSzVNraaH;17901730472026548;@1point5degrees Exactly 🙌;1624825756
CQoSzVNraaH;17901016936969556;Never bought from that company, and never will :);1624825853
CQoSzVNraaH;17925051469641446;only losers wear canada goose;1624826019
CQoSzVNraaH;17872916798435195;Yessss!!! now I’ll be able to actually afford one sleeve of the parka and not have to feel like I’m destroying the planet or my bank account 😂;1624826107
CQoSzVNraaH;18119826511231736;Finally….🙌;1624826246
CQoSzVNraaH;17917735978767471;⭐️;1624826563
CQoSzVNraaH;18235883164051688;🙌❤️;1624827374
CQoSzVNraaH;17923529275661843;Thank goodness…that was just gross.;1624827443
